date,symbol,open,high,low,close,volume
2024-01-02,DEMO,100.0000,100.2859,99.9177,100.2035,1032923
2024-01-03,DEMO,100.2035,100.3333,100.1836,100.3134,1007927
2024-01-04,DEMO,100.3134,100.3766,100.2793,100.3425,986390
2024-01-05,DEMO,100.3425,101.1191,100.0645,100.8397,1110814
2024-01-08,DEMO,100.8397,100.9175,100.7260,100.8037,969146
2024-01-09,DEMO,100.8037,101.2741,99.7113,100.1788,813348
2024-01-10,DEMO,100.1788,100.2616,100.0521,100.1348,966955
2024-01-11,DEMO,100.1348,100.9894,99.8257,100.6786,1123491
2024-01-12,DEMO,100.6786,101.0422,100.5655,100.9288,1044935
2024-01-15,DEMO,100.9288,101.5527,100.7119,101.3349,1085961
2024-01-16,DEMO,101.3349,101.6569,100.6124,100.9330,872911
2024-01-17,DEMO,100.9330,101.0547,100.9167,101.0383,1006477
2024-01-18,DEMO,101.0383,101.2758,100.9757,101.2131,1024786
2024-01-19,DEMO,101.2131,101.4674,100.6589,100.9125,899473
2024-01-22,DEMO,100.9125,102.0548,100.4890,101.6284,1167841
2024-01-23,DEMO,101.6284,102.0238,100.7230,101.1164,844345
2024-01-24,DEMO,101.1164,101.5982,100.9563,101.4376,1063350
2024-01-25,DEMO,101.4376,101.6116,101.0840,101.2577,931386
2024-01-26,DEMO,101.2577,101.5764,100.5433,100.8607,874115
2024-01-29,DEMO,100.8607,101.3732,100.6882,101.2001,1068402
2024-01-30,DEMO,101.2001,102.3435,100.7763,101.9167,1167499
2024-01-31,DEMO,101.9167,102.2923,101.0611,101.4349,852595
2024-02-01,DEMO,101.4349,101.5256,101.2894,101.3801,964245
2024-02-02,DEMO,101.3801,102.3482,101.0261,101.9921,1139654
2024-02-05,DEMO,101.9921,102.0843,101.8433,101.9354,963850
2024-02-06,DEMO,101.9354,102.4118,100.8291,101.3024,813079
2024-02-07,DEMO,101.3024,101.5512,101.2354,101.4840,1026463
2024-02-08,DEMO,101.4840,102.3382,101.1755,102.0280,1121605
2024-02-09,DEMO,102.0280,102.3870,101.2138,101.5712,859268
2024-02-12,DEMO,101.5712,102.6785,101.1619,102.2664,1161193
2024-02-13,DEMO,102.2664,102.3380,102.2460,102.3176,992015
2024-02-14,DEMO,102.3176,102.3744,102.2675,102.3243,980405
2024-02-15,DEMO,102.3243,102.9303,102.1149,102.7201,1081832
2024-02-16,DEMO,102.7201,103.6649,102.3759,103.3187,1134047
2024-02-19,DEMO,103.3187,104.1239,103.0302,103.8340,1111678
2024-02-20,DEMO,103.8340,104.2409,103.7046,104.1112,1049843
2024-02-21,DEMO,104.1112,104.3981,103.4781,103.7641,889767
2024-02-22,DEMO,103.7641,104.2138,103.6176,104.0668,1056476
2024-02-23,DEMO,104.0668,105.2524,103.6272,104.8096,1168987
2024-02-26,DEMO,104.8096,105.0751,104.2305,104.4952,898673
